Consolidate compiler generated dependencies of target dataAnalysis
[ 33%] Building CXX object CMakeFiles/dataAnalysis.dir/src/archiveReader.cpp.o
[ 66%] Linking CXX executable dataAnalysis
[100%] Built target dataAnalysis
AC 0 19 413418 2020-04-17
AC 0 20 894470 2020-04-17
AC 0 0 15490 2020-04-18
AC 0 0 10420 2020-04-18
AC 0 0 89072 2020-04-18
AC 0 0 19955 2020-04-18
AC 0 0 18824 2020-04-18
AC 1 7 413418 2020-04-18
AC 1 7 894470 2020-04-18
AC 0 0 15490 2020-04-19
AC 0 0 10420 2020-04-19
AC 0 3 89072 2020-04-19
AC 0 5 19955 2020-04-19
AC 0 0 18824 2020-04-19
AC 0 11 413418 2020-04-19
AC 0 2 23236 2020-04-19
AC 0 21 894470 2020-04-19
AC 0 0 15490 2020-04-20
AC 0 0 10420 2020-04-20
AC 0 0 89072 2020-04-20
AC 0 0 19955 2020-04-20
AC 0 0 18824 2020-04-20
AC 2 13 413418 2020-04-20
AC 0 0 23236 2020-04-20
AC 2 13 894470 2020-04-20
AC 0 0 15490 2020-04-21
AC 0 0 10420 2020-04-21
AC 0 0 89072 2020-04-21
AC 0 1 19955 2020-04-21
AC 0 0 18824 2020-04-21
AC 0 18 413418 2020-04-21
AC 0 0 23236 2020-04-21
AC 0 19 894470 2020-04-21
AC 0 0 15490 2020-04-22
AC 0 0 10420 2020-04-22
AC 0 0 89072 2020-04-22
AC 0 1 19955 2020-04-22
AC 0 0 18824 2020-04-22
AC 0 18 413418 2020-04-22
AC 0 0 23236 2020-04-22
AC 0 19 894470 2020-04-22
AC 0 0 15490 2020-04-23
AC 0 0 10420 2020-04-23
AC 0 0 89072 2020-04-23
AC 0 0 19955 2020-04-23
AC 0 0 18824 2020-04-23
AC 2 13 413418 2020-04-23
AC 0 0 23236 2020-04-23
AC 2 13 894470 2020-04-23
AC 0 0 15490 2020-04-24
AC 0 0 10420 2020-04-24
AC 0 0 89072 2020-04-24
AC 0 1 19955 2020-04-24
AC 0 0 18824 2020-04-24
AC 1 6 413418 2020-04-24
AC 0 0 23236 2020-04-24
AC 1 7 894470 2020-04-24
AC 0 0 15490 2020-04-25
AC 0 0 10420 2020-04-25
AC 0 0 89072 2020-04-25
AC 0 0 19955 2020-04-25
AC 0 0 18824 2020-04-25
AC 0 24 413418 2020-04-25
AC 0 0 23236 2020-04-25
AC 0 24 894470 2020-04-25
AC 0 0 15490 2020-04-26
AC 0 0 10420 2020-04-26
AC 0 0 89072 2020-04-26
AC 0 0 19955 2020-04-26
AC 0 1 18824 2020-04-26
AC 0 20 413418 2020-04-26
AC 0 0 23236 2020-04-26
AC 0 21 894470 2020-04-26
AC 0 1 15490 2020-04-27
AC 0 0 10420 2020-04-27
AC 0 0 89072 2020-04-27
AC 0 0 19955 2020-04-27
AC 0 0 18824 2020-04-27
AC 3 21 413418 2020-04-27
AC 0 0 23236 2020-04-27
AC 3 22 894470 2020-04-27
AC 0 0 15490 2020-04-28
AC 0 0 10420 2020-04-28
AC 0 0 89072 2020-04-28
AC 0 0 19955 2020-04-28
AC 0 0 18824 2020-04-28
AC 2 16 413418 2020-04-28
AC 0 0 23236 2020-04-28
AC 2 16 894470 2020-04-28
AC 0 0 15490 2020-04-29
AC 0 1 10420 2020-04-29
AC 0 0 89072 2020-04-29
AC 0 1 19311 2020-04-29
AC 0 3 19955 2020-04-29
AC 0 0 18824 2020-04-29
AC 2 28 413418 2020-04-29
AC 0 1 23236 2020-04-29
AC 0 3 19596 2020-04-29
AC 2 37 894470 2020-04-29
AC 0 0 15490 2020-04-30
AC 0 0 10420 2020-04-30
AC 0 0 89072 2020-04-30
AC 0 1 19311 2020-04-30
AC 0 0 19955 2020-04-30
AC 0 0 18824 2020-04-30
AC 1 44 413418 2020-04-30
AC 0 0 23236 2020-04-30
AC 0 5 19596 2020-04-30
AC 1 50 894470 2020-04-30
AC 0 0 15490 2020-05-01
AC 0 1 7534 2020-05-01
AC 0 0 10420 2020-05-01
AC 0 7 89072 2020-05-01
AC 0 0 19311 2020-05-01
AC 0 9 19955 2020-05-01
AC 0 0 18824 2020-05-01
AC 0 64 413418 2020-05-01
AC 0 1 23236 2020-05-01
AC 0 1 19596 2020-05-01
AC 0 83 894470 2020-05-01
AC 0 0 15490 2020-05-02
AC 0 0 7534 2020-05-02
AC 0 0 10420 2020-05-02
AC 0 -3 89072 2020-05-02
AC 0 1 34884 2020-05-02
AC 0 1 19311 2020-05-02
AC 1 0 19955 2020-05-02
AC 0 0 18824 2020-05-02
AC 2 66 413418 2020-05-02
AC 0 0 23236 2020-05-02
AC 0 1 43151 2020-05-02
AC 0 0 19596 2020-05-02
AC 3 66 894470 2020-05-02
AC 0 2 15490 2020-05-03
AC 0 0 7534 2020-05-03
AC 0 0 10420 2020-05-03
AC 0 0 89072 2020-05-03
AC 0 0 34884 2020-05-03
AC 0 0 19311 2020-05-03
AC 1 7 19955 2020-05-03
AC 0 0 18824 2020-05-03
AC 2 93 413418 2020-05-03
AC 0 2 23236 2020-05-03
AC 0 1 43151 2020-05-03
AC 0 0 19596 2020-05-03
AC 3 105 894470 2020-05-03
AC 1 0 15490 2020-05-04
AC 0 0 7534 2020-05-04
AC 0 0 10420 2020-05-04
AC 0 2 89072 2020-05-04
AC 0 0 34884 2020-05-04
AC 0 -1 19311 2020-05-04
AC 0 0 19955 2020-05-04
AC 0 0 18824 2020-05-04
AC 2 68 413418 2020-05-04
AC 0 2 46511 2020-05-04
AC 0 4 23236 2020-05-04
AC 0 0 43151 2020-05-04
AC 0 0 19596 2020-05-04
AC 3 75 894470 2020-05-04
AC 0 1 15490 2020-05-05
AC 0 0 7534 2020-05-05
AC 0 0 10420 2020-05-05
AC 0 11 89072 2020-05-05
AC 0 0 34884 2020-05-05
AC 0 0 19311 2020-05-05
AC 0 4 19955 2020-05-05
AC 0 0 18824 2020-05-05
AC 1 61 413418 2020-05-05
AC 0 0 46511 2020-05-05
AC 0 1 23236 2020-05-05
AC 0 6 43151 2020-05-05
AC 0 0 19596 2020-05-05
AC 1 84 894470 2020-05-05
AC 0 -1 15490 2020-05-06
AC 0 0 7534 2020-05-06
AC 0 1 10420 2020-05-06
AC 0 4 89072 2020-05-06
AC 0 0 34884 2020-05-06
AC 0 0 19311 2020-05-06
AC 0 8 19955 2020-05-06
AC 0 1 18824 2020-05-06
AC 6 112 413418 2020-05-06
AC 0 0 46511 2020-05-06
AC 0 1 23236 2020-05-06
AC 0 0 43151 2020-05-06
AC 0 0 19596 2020-05-06
AC 6 126 894470 2020-05-06
AC 0 0 15490 2020-05-07
AC 0 0 7534 2020-05-07
AC 0 1 10420 2020-05-07
AC 0 0 89072 2020-05-07
AC 0 2 18696 2020-05-07
AC 0 0 34884 2020-05-07
AC 0 1 19311 2020-05-07
AC 0 1 19955 2020-05-07
AC 0 0 18824 2020-05-07
AC 0 67 413418 2020-05-07
AC 0 0 46511 2020-05-07
AC 0 -1 23236 2020-05-07
AC 1 0 43151 2020-05-07
AC 0 0 19596 2020-05-07
AC 1 71 894470 2020-05-07
AC 0 2 15490 2020-05-08
AC 0 0 7534 2020-05-08
AC 0 0 10420 2020-05-08
AC 0 1 12008 2020-05-08
AC 0 21 89072 2020-05-08
AC 0 0 18696 2020-05-08
AC 0 0 34884 2020-05-08
AC 0 0 19311 2020-05-08
AC 0 8 19955 2020-05-08
AC 0 5 18824 2020-05-08
AC 2 119 413418 2020-05-08
AC 0 1 6717 2020-05-08
AC 0 0 46511 2020-05-08
AC 0 4 23236 2020-05-08
AC 0 1 43151 2020-05-08
AC 0 1 19596 2020-05-08
AC 2 163 894470 2020-05-08
AC 0 11 15490 2020-05-09
AC 0 0 7534 2020-05-09
AC 0 1 26702 2020-05-09
AC 0 0 10420 2020-05-09
AC 0 0 12008 2020-05-09
AC 0 -1 89072 2020-05-09
AC 0 0 18696 2020-05-09
AC 0 0 34884 2020-05-09
AC 0 0 19311 2020-05-09
AC 0 6 19955 2020-05-09
AC 0 0 18824 2020-05-09
AC 2 130 413418 2020-05-09
AC 0 0 6717 2020-05-09
AC 0 3 46511 2020-05-09
AC 0 0 23236 2020-05-09
AC 0 7 43151 2020-05-09
AC 0 1 19596 2020-05-09
AC 2 158 894470 2020-05-09
AC 0 2 15490 2020-05-10
AC 0 0 7534 2020-05-10
AC 0 0 26702 2020-05-10
AC 0 0 10420 2020-05-10
AC 0 0 12008 2020-05-10
AC 0 29 89072 2020-05-10
AC 0 0 18696 2020-05-10
AC 0 0 34884 2020-05-10
AC 0 0 19311 2020-05-10
AC 0 0 19955 2020-05-10
AC 0 0 18824 2020-05-10
AC 1 68 413418 2020-05-10
AC 0 0 6717 2020-05-10
AC 0 0 46511 2020-05-10
AC 0 13 23236 2020-05-10
AC 0 0 43151 2020-05-10
AC 0 0 19596 2020-05-10
AC 1 112 894470 2020-05-10
AC 0 0 15490 2020-05-11
AC 0 0 7534 2020-05-11
AC 0 0 26702 2020-05-11
AC 0 0 10420 2020-05-11
AC 0 0 12008 2020-05-11
AC 0 6 89072 2020-05-11
AC 0 0 18696 2020-05-11
AC 0 0 34884 2020-05-11
AC 0 0 19311 2020-05-11
AC 0 0 19955 2020-05-11
AC 0 0 18824 2020-05-11
AC 3 0 413418 2020-05-11
AC 0 0 6717 2020-05-11
AC 0 6 46511 2020-05-11
AC 0 1 23236 2020-05-11
AC 0 0 43151 2020-05-11
AC 0 0 19596 2020-05-11
AC 3 13 894470 2020-05-11
AC 0 1 15490 2020-05-12
AC 0 0 7534 2020-05-12
AC 0 2 26702 2020-05-12
AC 0 4 10420 2020-05-12
AC 0 0 12008 2020-05-12
AC 0 4 89072 2020-05-12
AC 0 0 18696 2020-05-12
AC 0 0 34884 2020-05-12
AC 0 3 19299 2020-05-12
AC 0 0 19311 2020-05-12
AC 0 14 19955 2020-05-12
AC 0 3 18824 2020-05-12
AC 7 71 413418 2020-05-12
AC 0 4 19351 2020-05-12
AC 0 0 6717 2020-05-12
AC 0 6 46511 2020-05-12
AC 0 12 23236 2020-05-12
AC 0 5 43151 2020-05-12
AC 0 1 19596 2020-05-12
AC 7 130 894470 2020-05-12
AC 0 8 15490 2020-05-13
AC 0 0 7534 2020-05-13
AC 0 0 26702 2020-05-13
AC 0 8 10420 2020-05-13
AC 0 0 12008 2020-05-13
AC 1 40 89072 2020-05-13
AC 0 0 18696 2020-05-13
AC 0 0 34884 2020-05-13
AC 0 0 9581 2020-05-13
AC 0 0 19299 2020-05-13
AC 0 0 19311 2020-05-13
AC 0 1 19955 2020-05-13
AC 0 0 18824 2020-05-13
AC 0 0 12241 2020-05-13
AC 0 44 413418 2020-05-13
AC 0 1 19351 2020-05-13
AC 0 0 6717 2020-05-13
AC 0 0 46511 2020-05-13
AC 0 0 23236 2020-05-13
AC 0 1 43151 2020-05-13
AC 0 1 19596 2020-05-13
AC 1 104 894470 2020-05-13
AC 0 8 15490 2020-05-14
AC 0 0 7534 2020-05-14
AC 0 0 26702 2020-05-14
AC 0 0 10420 2020-05-14
AC 0 0 12008 2020-05-14
AC 0 19 89072 2020-05-14
AC 0 1 18696 2020-05-14
AC 0 0 34884 2020-05-14
AC 0 0 9581 2020-05-14
AC 0 5 19299 2020-05-14
AC 0 0 19311 2020-05-14
AC 0 6 19955 2020-05-14
AC 0 0 18824 2020-05-14
AC 0 0 12241 2020-05-14
AC 3 4 413418 2020-05-14
AC 0 -1 19351 2020-05-14
AC 0 1 6717 2020-05-14
AC 0 2 46511 2020-05-14
AC 0 1 23236 2020-05-14
AC 0 0 43151 2020-05-14
AC 0 0 19596 2020-05-14
AC 3 46 894470 2020-05-14
AC 0 12 15490 2020-05-15
AC 0 0 7534 2020-05-15
AC 0 0 26702 2020-05-15
AC 0 1 10420 2020-05-15
AC 0 1 12008 2020-05-15
AC 0 18 89072 2020-05-15
AC 0 0 18696 2020-05-15
AC 0 0 34884 2020-05-15
AC 0 0 9581 2020-05-15
AC 0 3 19299 2020-05-15
AC 0 0 19311 2020-05-15
AC 0 1 19955 2020-05-15
AC 0 1 18824 2020-05-15
AC 0 0 12241 2020-05-15
AC 2 6 413418 2020-05-15
AC 0 1 19351 2020-05-15
AC 0 0 6717 2020-05-15
AC 0 2 46511 2020-05-15
AC 0 -4 23236 2020-05-15
AC 0 3 43151 2020-05-15
AC 0 0 19596 2020-05-15
AC 2 45 894470 2020-05-15
AC 0 8 15490 2020-05-16
AC 0 0 7534 2020-05-16
AC 0 -1 26702 2020-05-16
AC 0 1 10420 2020-05-16
AC 0 0 12008 2020-05-16
AC 0 48 89072 2020-05-16
AC 0 1 18696 2020-05-16
AC 0 1 34884 2020-05-16
AC 0 0 9581 2020-05-16
AC 0 1 19299 2020-05-16
AC 0 2 19311 2020-05-16
AC 0 2 19955 2020-05-16
AC 0 1 18824 2020-05-16
AC 0 0 12241 2020-05-16
AC 2 6 413418 2020-05-16
AC 0 -1 19351 2020-05-16
AC 0 0 6717 2020-05-16
AC 0 3 46511 2020-05-16
AC 0 1 23236 2020-05-16
AC 0 9 43151 2020-05-16
AC 0 0 19596 2020-05-16
AC 2 82 894470 2020-05-16
AC 0 0 15490 2020-05-17
AC 0 0 7534 2020-05-17
AC 0 2 26702 2020-05-17
AC 0 -1 10420 2020-05-17
AC 0 0 12008 2020-05-17
AC 0 1 89072 2020-05-17
AC 0 9 18696 2020-05-17
AC 0 0 34884 2020-05-17
AC 0 0 9581 2020-05-17
AC 0 -1 19299 2020-05-17
AC 0 0 19311 2020-05-17
AC 0 2 19955 2020-05-17
AC 0 0 18824 2020-05-17
AC 0 0 12241 2020-05-17
AC 3 114 413418 2020-05-17
AC 0 -1 19351 2020-05-17
AC 0 0 6717 2020-05-17
AC 0 3 46511 2020-05-17
AC 0 2 23236 2020-05-17
AC 0 -1 43151 2020-05-17
AC 0 0 19596 2020-05-17
AC 3 129 894470 2020-05-17
AC 0 7 15490 2020-05-18
AC 0 0 7534 2020-05-18
AC 0 1 26702 2020-05-18
AC 0 0 10420 2020-05-18
AC 0 6 12008 2020-05-18
AC 0 4 89072 2020-05-18
AC 0 2 18696 2020-05-18
AC 0 0 34884 2020-05-18
AC 0 0 8473 2020-05-18
AC 0 0 9581 2020-05-18
AC 0 0 19299 2020-05-18
AC 0 0 19311 2020-05-18
AC 0 -1 19955 2020-05-18
AC 0 0 18824 2020-05-18
AC 0 0 12241 2020-05-18
AC 5 207 413418 2020-05-18
AC 0 -1 19351 2020-05-18
AC 0 0 6717 2020-05-18
AC 0 7 46511 2020-05-18
AC 0 5 23236 2020-05-18
AC 0 0 43151 2020-05-18
AC 0 1 19596 2020-05-18
AC 5 238 894470 2020-05-18
AC 0 0 15490 2020-05-19
AC 1 1 7534 2020-05-19
AC 0 1 26702 2020-05-19
AC 0 1 10420 2020-05-19
AC 0 2 12008 2020-05-19
AC 0 20 89072 2020-05-19
AC 0 0 18696 2020-05-19
AC 0 0 34884 2020-05-19
AC 0 0 8473 2020-05-19
AC 0 0 9581 2020-05-19
AC 0 4 19299 2020-05-19
AC 0 1 19311 2020-05-19
AC 0 15 19955 2020-05-19
AC 0 5 18824 2020-05-19
AC 0 0 12241 2020-05-19
AC 3 157 413418 2020-05-19
AC 0 0 19351 2020-05-19
AC 0 0 6717 2020-05-19
AC 1 7 46511 2020-05-19
AC 0 10 23236 2020-05-19
AC 1 24 43151 2020-05-19
AC 0 0 19596 2020-05-19
AC 6 248 894470 2020-05-19
AC 0 0 15490 2020-05-20
AC 0 0 7534 2020-05-20
AC 0 0 26702 2020-05-20
AC 0 0 10420 2020-05-20
AC 0 0 12008 2020-05-20
AC 0 0 89072 2020-05-20
AC 0 0 18696 2020-05-20
AC 0 0 34884 2020-05-20
AC 0 0 8473 2020-05-20
AC 0 0 9581 2020-05-20
AC 0 0 19299 2020-05-20
AC 0 0 19311 2020-05-20
AC 0 0 19955 2020-05-20
AC 0 0 18824 2020-05-20
AC 0 0 12241 2020-05-20
AC 0 0 413418 2020-05-20
AC 0 0 19351 2020-05-20
AC 0 0 6717 2020-05-20
AC 0 0 46511 2020-05-20
AC 0 0 23236 2020-05-20
AC 0 0 43151 2020-05-20
AC 0 0 19596 2020-05-20
AC 2 335 894470 2020-05-20
AC 0 25 15490 2020-05-21
AC 0 5 7534 2020-05-21
AC 0 17 26702 2020-05-21
AC 0 3 10420 2020-05-21
AC 0 3 12008 2020-05-21
AC 2 94 89072 2020-05-21
AC 0 20 18696 2020-05-21
AC 0 0 34884 2020-05-21
AC 0 0 8473 2020-05-21
AC 0 0 9581 2020-05-21
AC 0 11 19299 2020-05-21
AC 0 1 19311 2020-05-21
AC 0 26 19955 2020-05-21
AC 0 8 18824 2020-05-21
AC 0 0 12241 2020-05-21
AC 3 305 413418 2020-05-21
AC 0 2 19351 2020-05-21
AC 0 0 6717 2020-05-21
AC 0 40 46511 2020-05-21
AC 0 21 23236 2020-05-21
AC 0 35 43151 2020-05-21
AC 0 5 19596 2020-05-21
AC 3 286 894470 2020-05-21
AC 0 20 15490 2020-05-22
AC 0 0 7534 2020-05-22
AC 0 6 26702 2020-05-22
AC 0 3 10420 2020-05-22
AC 0 0 12008 2020-05-22
AC 0 88 89072 2020-05-22
AC 0 0 18696 2020-05-22
AC 0 0 34884 2020-05-22
AC 0 0 8473 2020-05-22
AC 0 0 9581 2020-05-22
AC 0 9 19299 2020-05-22
AC 0 0 19311 2020-05-22
AC 0 1 19955 2020-05-22
AC 0 1 18824 2020-05-22
AC 0 0 12241 2020-05-22
AC 2 68 413418 2020-05-22
AC 0 3 19351 2020-05-22
AC 0 0 6717 2020-05-22
AC 0 18 46511 2020-05-22
AC 0 9 23236 2020-05-22
AC 0 13 43151 2020-05-22
AC 0 1 19596 2020-05-22
AC 2 240 894470 2020-05-22
AC 0 10 15490 2020-05-23
AC 0 0 7534 2020-05-23
AC 1 -4 26702 2020-05-23
AC 0 3 10420 2020-05-23
AC 0 4 12008 2020-05-23
AC 0 14 89072 2020-05-23
AC 0 5 18696 2020-05-23
AC 0 0 34884 2020-05-23
AC 0 0 8473 2020-05-23
AC 0 0 9581 2020-05-23
AC 0 6 19299 2020-05-23
AC 0 1 19311 2020-05-23
AC 0 4 19955 2020-05-23
AC 0 5 18824 2020-05-23
AC 0 0 12241 2020-05-23
AC 6 422 413418 2020-05-23
AC 0 0 19351 2020-05-23
AC 0 0 6717 2020-05-23
AC 0 18 46511 2020-05-23
AC 0 0 23236 2020-05-23
AC 0 31 43151 2020-05-23
AC 0 5 19596 2020-05-23
AC 7 524 894470 2020-05-23
AC 0 0 15490 2020-05-24
AC 0 0 7534 2020-05-24
AC 0 0 26702 2020-05-24
AC 0 2 10420 2020-05-24
AC 0 7 12008 2020-05-24
AC 0 9 89072 2020-05-24
AC 0 0 18696 2020-05-24
AC 0 0 34884 2020-05-24
AC 0 0 8473 2020-05-24
AC 0 1 9581 2020-05-24
AC 0 0 19299 2020-05-24
AC 0 2 19311 2020-05-24
AC 0 5 19955 2020-05-24
AC 0 7 18824 2020-05-24
AC 0 0 12241 2020-05-24
AC 5 245 413418 2020-05-24
AC 0 0 19351 2020-05-24
AC 0 0 6717 2020-05-24
AC 0 14 46511 2020-05-24
AC 0 0 23236 2020-05-24
AC 0 0 43151 2020-05-24
AC 0 1 19596 2020-05-24
AC 5 293 894470 2020-05-24
AC 0 0 15490 2020-05-25
AC 0 0 7534 2020-05-25
AC 0 6 26702 2020-05-25
AC 0 0 10420 2020-05-25
AC 0 0 12008 2020-05-25
AC 0 1 89072 2020-05-25
AC 0 5 18696 2020-05-25
AC 0 0 34884 2020-05-25
AC 0 0 8473 2020-05-25
AC 0 -1 9581 2020-05-25
AC 0 1 19299 2020-05-25
AC 0 0 19311 2020-05-25
AC 0 0 19955 2020-05-25
AC 0 10 18824 2020-05-25
AC 0 0 12241 2020-05-25
AC 5 294 413418 2020-05-25
AC 0 0 19351 2020-05-25
AC 0 0 6717 2020-05-25
AC 0 12 46511 2020-05-25
AC 0 13 23236 2020-05-25
AC 0 0 43151 2020-05-25
AC 0 0 19596 2020-05-25
AC 5 341 894470 2020-05-25
AC 0 3 15490 2020-05-26
AC 0 1 7534 2020-05-26
AC 0 -7 26702 2020-05-26
AC 0 4 10420 2020-05-26
AC 0 4 12008 2020-05-26
AC 1 17 89072 2020-05-26
AC 0 6 18696 2020-05-26
AC 0 4 34884 2020-05-26
AC 0 0 8473 2020-05-26
AC 0 0 9581 2020-05-26
AC 0 0 19299 2020-05-26
AC 0 0 19311 2020-05-26
AC 0 13 19955 2020-05-26
AC 0 6 18824 2020-05-26
AC 0 1 12241 2020-05-26
AC 7 219 413418 2020-05-26
AC 0 0 19351 2020-05-26
AC 0 1 6717 2020-05-26
AC 0 1 46511 2020-05-26
AC 0 0 23236 2020-05-26
AC 0 6 43151 2020-05-26
AC 0 1 19596 2020-05-26
AC 8 280 894470 2020-05-26
AC 0 13 15490 2020-05-27
AC 0 11 7534 2020-05-27
AC 0 10 26702 2020-05-27
AC 0 5 10420 2020-05-27
AC 0 1 12008 2020-05-27
AC 1 25 89072 2020-05-27
AC 0 5 18696 2020-05-27
AC 0 1 34884 2020-05-27
AC 0 0 8473 2020-05-27
AC 0 0 9581 2020-05-27
AC 0 19 19299 2020-05-27
AC 0 4 19311 2020-05-27
AC 0 0 19955 2020-05-27
AC 1 14 18824 2020-05-27
AC 0 1 12241 2020-05-27
AC 6 265 413418 2020-05-27
AC 0 2 19351 2020-05-27
AC 0 5 6717 2020-05-27
AC 0 33 46511 2020-05-27
AC 0 5 23236 2020-05-27
AC 0 47 43151 2020-05-27
AC 0 4 19596 2020-05-27
AC 8 470 894470 2020-05-27
AC 0 5 15490 2020-05-28
AC 0 3 7534 2020-05-28
AC 0 0 26702 2020-05-28
AC 0 3 10420 2020-05-28
AC 1 6 12008 2020-05-28
AC 0 123 89072 2020-05-28
AC 0 1 18696 2020-05-28
AC 0 0 34884 2020-05-28
AC 0 0 8473 2020-05-28
AC 0 0 9581 2020-05-28
AC 0 11 19299 2020-05-28
AC 0 4 19311 2020-05-28
AC 0 4 19955 2020-05-28
AC 0 0 18824 2020-05-28
AC 0 0 12241 2020-05-28
AC 7 141 413418 2020-05-28
AC 0 0 19351 2020-05-28
AC 0 3 6717 2020-05-28
AC 0 18 46511 2020-05-28
AC 1 0 23236 2020-05-28
AC 0 24 43151 2020-05-28
AC 0 3 19596 2020-05-28
AC 9 349 894470 2020-05-28
AC 0 8 15490 2020-05-29
AC 1 1 7534 2020-05-29
AC 1 1 26702 2020-05-29
AC 1 2 10420 2020-05-29
AC 0 1 12008 2020-05-29
AC 2 21 89072 2020-05-29
AC 0 2 18696 2020-05-29
AC 1 1 34884 2020-05-29
AC 0 0 8473 2020-05-29
AC 0 0 9581 2020-05-29
AC 0 5 19299 2020-05-29
AC 0 5 19311 2020-05-29
AC 0 2 19955 2020-05-29
AC 1 5 18824 2020-05-29
AC 0 0 12241 2020-05-29
AC 5 135 413418 2020-05-29
AC 0 3 19351 2020-05-29
AC 0 0 6717 2020-05-29
AC 0 14 46511 2020-05-29
AC 0 19 23236 2020-05-29
AC 0 11 43151 2020-05-29
AC 1 5 19596 2020-05-29
AC 13 241 894470 2020-05-29
AC 0 0 15490 2020-05-30
